s,C,C,C,C,C,C
Time,"TEMP_0","TEMP_1","TEMP_2","TEMP_3","TEMP_4","TEMP_5"
 3.3012612E+002, 3.7866036E+001, 1.2000303E+002, 2.7717573E+001, 2.1006690E+002, 2.0036407E+001, 2.0008495E+001
 3.3517569E+002, 3.6059903E+001, 1.6135839E+002, 2.7705471E+001, 2.0686414E+002, 2.0044131E+001, 2.0030119E+001
 3.4017805E+002, 3.5724173E+001, 1.5577083E+002, 2.7696456E+001, 2.1578473E+002, 2.0048664E+001, 2.0051796E+001
 3.4500734E+002, 3.6836098E+001, 1.7039547E+002, 2.7691714E+001, 2.1258237E+002, 2.0050810E+001, 2.0069099E+001
 3.5003418E+002, 3.8850136E+001, 1.8037988E+002, 2.7681843E+001, 2.3675462E+002, 2.0046296E+001, 2.0081954E+001
 3.5507499E+002, 4.0616014E+001, 1.6850658E+002, 2.7658009E+001, 3.3413481E+002, 2.0031670E+001, 2.0089627E+001
 3.6009637E+002, 4.0165199E+001, 1.3245751E+002, 2.7605040E+001, 3.2796090E+002, 2.0010795E+001, 2.0093650E+001
 3.6511330E+002, 3.8308045E+001, 1.1714899E+002, 2.7524184E+001, 3.3906056E+002, 2.0003578E+001, 2.0093860E+001
 3.7000063E+002, 3.6889821E+001, 1.0442214E+002, 2.7395917E+001, 3.8545289E+002, 2.0014167E+001, 2.0090855E+001
 3.7509414E+002, 3.6348796E+001, 1.0079122E+002, 2.7253448E+001, 3.1405951E+002, 2.0027877E+001, 2.0084984E+001
 3.8000696E+002, 3.6706616E+001, 1.3443418E+002, 2.7085268E+001, 2.8241829E+002, 2.0039784E+001, 2.0076942E+001
 3.8521097E+002, 3.7936679E+001, 1.2311965E+002, 2.6952635E+001, 2.9660276E+002, 2.0054378E+001, 2.0067606E+001
 3.9001470E+002, 3.9110894E+001, 1.2505279E+002, 2.6845684E+001, 3.4464116E+002, 2.0070187E+001, 2.0058405E+001
 3.9514353E+002, 4.0025754E+001, 1.4199189E+002, 2.6733407E+001, 3.5592168E+002, 2.0079503E+001, 2.0052741E+001
 4.0007359E+002, 3.9678951E+001, 1.5192300E+002, 2.6614267E+001, 3.0154136E+002, 2.0082533E+001, 2.0041669E+001
 4.0501817E+002, 3.8332693E+001, 1.1659125E+002, 2.6538578E+001, 2.8505876E+002, 2.0082284E+001, 2.0014912E+001
 4.1001636E+002, 3.8118183E+001, 1.3738924E+002, 2.6461739E+001, 3.0354095E+002, 2.0080966E+001, 1.9982537E+001
 4.1511831E+002, 3.8563701E+001, 1.1149598E+002, 2.6380863E+001, 3.1222011E+002, 2.0077779E+001, 1.9953821E+001
 4.2006312E+002, 3.9701600E+001, 1.2147162E+002, 2.6340779E+001, 3.4105487E+002, 2.0072334E+001, 1.9929418E+001
 4.2508327E+002, 4.0041908E+001, 1.3774070E+002, 2.6453943E+001, 3.0321980E+002, 2.0066129E+001, 1.9909617E+001
 4.3014031E+002, 3.8141720E+001, 1.4164278E+002, 2.6724634E+001, 3.1332394E+002, 2.0059362E+001, 1.9900588E+001
 4.3516091E+002, 3.7266500E+001, 1.6940146E+002, 2.6898108E+001, 3.3158066E+002, 2.0052284E+001, 1.9904674E+001
 4.4009477E+002, 3.8547679E+001, 1.3928413E+002, 2.6892923E+001, 3.4980781E+002, 2.0043291E+001, 1.9918078E+001
 4.4510427E+002, 3.9104742E+001, 1.1047479E+002, 2.6807441E+001, 2.0986547E+002, 2.0032165E+001, 1.9937486E+001
 4.5016222E+002, 3.8028367E+001, 1.1681975E+002, 2.6684007E+001, 1.6602003E+002, 2.0021177E+001, 1.9961570E+001
 4.5500642E+002, 3.6648345E+001, 1.1771564E+002, 2.6560213E+001, 2.5954294E+002, 2.0012148E+001, 1.9985000E+001
 4.6015462E+002, 3.6230935E+001, 1.3106616E+002, 2.6495007E+001, 3.2873199E+002, 2.0005890E+001, 2.0004440E+001
 4.6509630E+002, 3.8158285E+001, 1.3334214E+002, 2.6467251E+001, 2.0414877E+002, 2.0003246E+001, 2.0019552E+001
 4.7001532E+002, 4.0343504E+001, 1.1188438E+002, 2.6434600E+001, 2.9222798E+002, 2.0005018E+001, 2.0030333E+001
 4.7507564E+002, 3.9458304E+001, 1.3955527E+002, 2.6402189E+001, 1.8118173E+002, 2.0010569E+001, 2.0036515E+001
 4.8014991E+002, 3.7286868E+001, 1.3896529E+002, 2.6372460E+001, 2.0783725E+002, 2.0021920E+001, 2.0038489E+001
 4.8523449E+002, 3.6725699E+001, 1.4685216E+002, 2.6354092E+001, 2.8987931E+002, 2.0039522E+001, 2.0037702E+001
 4.9015110E+002, 3.7276628E+001, 1.3423283E+002, 2.6336359E+001, 3.3925157E+002, 2.0059252E+001, 2.0035643E+001
 4.9518641E+002, 3.7351832E+001, 1.4291041E+002, 2.6311441E+001, 2.3485538E+002, 2.0074183E+001, 2.0032912E+001
 5.0007494E+002, 3.8464176E+001, 1.3684322E+002, 2.6331439E+001, 2.3013576E+002, 2.0081106E+001, 2.0030526E+001
