s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1,ZONE_2,ZONE_3
 4.2622421E+002, 2.1929027E+003, 0.0000000E+000,-1.4604834E+003,-1.5971785E+001,-7.5069252E+002,-1.4134091E-001,-3.7944939E-001, 0.0000000E+000,-3.4315087E+001,-3.4765818E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.4707258E+000, 1.5843905E+004,-5.9337907E+000
 4.3222028E+002, 2.2058249E+003, 0.0000000E+000,-1.4658955E+003,-1.2600338E+001,-7.4221698E+002,-1.4119334E-001, 5.4250028E+000, 0.0000000E+000,-1.4018039E+001,-9.6041297E+000, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.4042894E+000, 1.5850723E+004,-5.8036889E+000
 4.3819125E+002, 2.1987824E+003, 0.0000000E+000,-1.4643039E+003,-1.7990627E+001,-7.4903050E+002,-1.4069204E-001, 1.0016254E+000, 0.0000000E+000,-3.0515841E+001,-3.1681675E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.4202808E+000, 1.5852052E+004,-5.7101617E+000
 4.4408374E+002, 2.2026773E+003, 0.0000000E+000,-1.4807540E+003, 1.0144866E-001,-7.4707610E+002,-1.3810024E-001,-3.4013931E+000, 0.0000000E+000,-3.1915544E+001,-2.8590862E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.3763351E+000, 1.5847246E+004,-5.6228854E+000
 4.5016223E+002, 2.2025817E+003, 0.0000000E+000,-1.4658642E+003, 1.8370310E+001,-7.4056532E+002,-1.3227998E-001, 4.4973262E+000, 0.0000000E+000, 1.7337413E+001, 1.8887539E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.4217242E+000, 1.5853723E+004,-5.5862179E+000
 4.5605539E+002, 2.2168078E+003, 0.0000000E+000,-1.4583880E+003,-7.9968754E+000,-7.3963330E+002,-1.4112683E-001, 1.2818145E+001, 0.0000000E+000, 2.5097277E+001, 2.3466708E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.4586718E+000, 1.5871293E+004,-5.5802982E+000
 4.6225327E+002, 2.1731020E+003, 0.0000000E+000,-1.4540824E+003,-9.6991385E+000,-7.5183525E+002,-1.4142836E-001,-4.7694348E+000, 0.0000000E+000,-4.4863283E+001,-4.7425616E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.4011478E+000, 1.5865062E+004,-5.5590678E+000
 4.6821231E+002, 2.2289572E+003, 0.0000000E+000,-1.4863526E+003, 3.2531442E+000,-7.4382420E+002,-1.3677302E-001, 5.3354632E+000, 0.0000000E+000, 3.8727476E+000, 7.2321788E+000, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.4252468E+000, 1.5872573E+004,-5.5787038E+000
 4.7417944E+002, 2.1827457E+003, 0.0000000E+000,-1.4690311E+003, 3.6399824E+000,-7.4347702E+002,-1.4198638E-001,-5.9267493E+000, 0.0000000E+000,-3.3073394E+001,-3.2191151E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.4545126E+000, 1.5864383E+004,-5.5764829E+000
 4.8014990E+002, 2.2181704E+003, 0.0000000E+000,-1.5367286E+003, 2.7164263E+001,-7.4063054E+002,-1.4102493E-001,-1.7965220E+001, 0.0000000E+000,-5.6723469E+001,-5.0130726E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.5091608E+000, 1.5838164E+004,-5.5611926E+000
 4.8618655E+002, 2.1754565E+003, 0.0000000E+000,-1.4584580E+003, 3.6312275E+000,-7.4364442E+002,-1.3810734E-001,-4.6564911E+000, 0.0000000E+000,-3.3693447E+001,-2.7809234E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.5455000E+000, 1.5829980E+004,-5.5967318E+000
 4.9214392E+002, 2.2081519E+003, 0.0000000E+000,-1.4681819E+003,-1.1786583E+001,-7.4817819E+002,-1.4093107E-001, 4.3204642E+000, 0.0000000E+000,-1.1763339E+001,-1.5815231E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.5651416E+000, 1.5836724E+004,-5.6181135E+000
 4.9800757E+002, 2.1902841E+003, 0.0000000E+000,-1.4785339E+003,-7.5474025E+000,-7.4328741E+002,-1.4116124E-001,-4.1348454E+000, 0.0000000E+000,-3.8045778E+001,-4.3360535E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.5314023E+000, 1.5832246E+004,-5.6145162E+000
 5.0415546E+002, 2.2067781E+003, 0.0000000E+000,-1.4651502E+003,-4.9637807E+000,-7.4197023E+002,-1.3823030E-001, 5.1674720E+000, 0.0000000E+000,-4.2061102E+000,-2.7689709E-001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.5702165E+000, 1.5838566E+004,-5.6598714E+000
 5.1026157E+002, 2.1884959E+003, 0.0000000E+000,-1.4732782E+003, 1.2364188E+000,-7.4534871E+002,-1.3676999E-001,-4.8628615E+000, 0.0000000E+000,-3.6620309E+001,-3.3894201E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.5422237E+000, 1.5831328E+004,-5.6953447E+000
 5.1602051E+002, 2.2137814E+003, 0.0000000E+000,-1.4689602E+003, 9.1092925E+000,-7.4066771E+002,-1.3344086E-001, 9.0733978E+000, 0.0000000E+000, 2.6837233E+001, 2.2202739E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.5658026E+000, 1.5844224E+004,-5.7428573E+000
 5.2201489E+002, 2.1951521E+003, 0.0000000E+000,-1.4929556E+003,-2.0868914E+001,-7.4111357E+002,-1.3875533E-001,-6.7782109E+000, 0.0000000E+000,-6.6101542E+001,-6.6702979E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.4495823E+000, 1.5834832E+004,-5.7329379E+000
 5.2804395E+002, 2.2095466E+003, 0.0000000E+000,-1.5060420E+003, 1.3775682E+001,-7.3039668E+002,-1.4027990E-001,-5.8114541E+000, 0.0000000E+000,-2.1869994E+001,-1.9068175E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.4133678E+000, 1.5826720E+004,-5.7030452E+000
 5.3420068E+002, 2.1890536E+003, 0.0000000E+000,-1.5083420E+003, 3.3512718E+001,-7.3044034E+002,-1.3753020E-001,-1.4445156E+001, 0.0000000E+000,-3.8703743E+001,-3.0798722E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.4080485E+000, 1.5805725E+004,-5.6425492E+000
 5.4003912E+002, 2.2032330E+003, 0.0000000E+000,-1.4743046E+003, 2.9127061E+001,-7.4904644E+002,-1.3695919E-001,-3.2072232E+000, 0.0000000E+000, 4.4270965E+000, 5.6648366E+000, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.4006953E+000, 1.5800476E+004,-5.6153787E+000
 5.4613739E+002, 2.2012188E+003, 0.0000000E+000,-1.5093257E+003,-2.6871217E+001,-7.5617282E+002,-1.3063072E-001,-1.6686390E+001, 0.0000000E+000,-1.0900509E+002,-1.0796788E+002, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.4208829E+000, 1.5775988E+004,-5.6308559E+000
 5.5212213E+002, 2.2010235E+003, 0.0000000E+000,-1.4810732E+003,-1.0936051E+001,-7.4094379E+002,-1.3907649E-001,-6.4556571E-002, 0.0000000E+000,-2.5124702E+001,-3.2133143E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.4517487E+000, 1.5777493E+004,-5.6617320E+000
 5.5803595E+002, 2.1969378E+003, 0.0000000E+000,-1.4878932E+003,-2.7356298E+000,-7.4255007E+002,-1.3511138E-001,-6.8059300E+000, 0.0000000E+000,-5.0001565E+001,-4.3182072E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.4995571E+000, 1.5766456E+004,-5.7263855E+000
