s,C,C,C,C,C,C,C
Time,"TEMP_0","TEMP_1","TEMP_2","TEMP_3","TEMP_4","TEMP_5","TEMP_6"
 3.4500405E+002, 7.7580002E+001, 1.0472819E+002, 8.6602140E+001, 3.0859451E+002, 7.6314164E+001, 1.4306441E+002, 8.1665415E+001
 3.5007547E+002, 8.3895449E+001, 9.9273965E+001, 8.3666820E+001, 2.5404763E+002, 7.6401596E+001, 1.3642873E+002, 7.8709671E+001
 3.5516272E+002, 8.6397599E+001, 9.7635974E+001, 8.2102393E+001, 2.8515667E+002, 7.5218323E+001, 1.4197404E+002, 7.7193276E+001
 3.6015136E+002, 8.3875045E+001, 9.8541848E+001, 8.6285189E+001, 2.7949516E+002, 7.2718515E+001, 1.4344915E+002, 7.9179767E+001
 3.6500411E+002, 8.1577065E+001, 1.0104669E+002, 8.7250173E+001, 2.6912564E+002, 7.0333511E+001, 1.4578610E+002, 7.8626693E+001
 3.7011436E+002, 8.0949497E+001, 1.0140811E+002, 8.4314861E+001, 2.5925028E+002, 7.0681354E+001, 1.4612576E+002, 7.7845998E+001
 3.7507564E+002, 8.4281581E+001, 1.0185054E+002, 8.0354347E+001, 2.2045070E+002, 7.4530332E+001, 1.5111663E+002, 7.7647952E+001
 3.8004110E+002, 8.4252021E+001, 1.0750216E+002, 7.9726544E+001, 2.9384266E+002, 7.4035369E+001, 1.4650515E+002, 7.5622862E+001
 3.8512904E+002, 8.2247737E+001, 1.0600997E+002, 8.3604152E+001, 2.7041752E+002, 7.4559531E+001, 1.4633831E+002, 7.3795822E+001
 3.9003736E+002, 8.2336815E+001, 1.0618119E+002, 8.4299954E+001, 2.8905912E+002, 7.0262402E+001, 1.4929321E+002, 7.3083599E+001
 3.9515793E+002, 8.0467178E+001, 1.0474414E+002, 8.4120453E+001, 2.2652519E+002, 6.7603996E+001, 1.5538464E+002, 7.7515003E+001
 4.0009578E+002, 8.0243238E+001, 1.0258052E+002, 8.4209364E+001, 1.9238718E+002, 6.6072734E+001, 1.5715177E+002, 7.8497741E+001
 4.0504943E+002, 8.2342659E+001, 1.0418724E+002, 8.1911649E+001, 2.7596190E+002, 6.7227767E+001, 1.4191095E+002, 7.7348493E+001
 4.1002339E+002, 8.1522505E+001, 1.0182460E+002, 8.1921513E+001, 2.3246843E+002, 7.4686521E+001, 1.5109439E+002, 7.4644508E+001
 4.1513931E+002, 8.0862768E+001, 1.0240386E+002, 8.5533353E+001, 1.8761475E+002, 7.4101205E+001, 1.5340073E+002, 7.1193874E+001
 4.2005633E+002, 8.2470760E+001, 9.6212870E+001, 8.6656711E+001, 2.3150756E+002, 7.0672204E+001, 1.5192046E+002, 7.4133649E+001
 4.2513015E+002, 8.4808670E+001, 9.2823166E+001, 8.3778390E+001, 2.3367042E+002, 7.5026053E+001, 1.5812285E+002, 7.8603103E+001
 4.3018734E+002, 8.4866732E+001, 1.0142573E+002, 8.2399723E+001, 2.7529841E+002, 7.7469394E+001, 1.4923686E+002, 7.2848057E+001
 4.3509414E+002, 8.1378309E+001, 1.0356623E+002, 8.2144074E+001, 2.7971870E+002, 7.5794303E+001, 1.5886796E+002, 7.4924895E+001
 4.4007854E+002, 8.0917620E+001, 1.0183422E+002, 8.3413786E+001, 2.7705061E+002, 7.2552431E+001, 1.4021776E+002, 7.3202902E+001
 4.4508835E+002, 7.8432724E+001, 1.0194535E+002, 8.3306837E+001, 2.6918320E+002, 7.2799682E+001, 1.4843029E+002, 8.1108277E+001
 4.5014449E+002, 7.8403511E+001, 9.6945411E+001, 8.3275589E+001, 2.8494455E+002, 7.3873746E+001, 1.5061949E+002, 7.9300852E+001
 4.5513059E+002, 8.3171308E+001, 9.6653158E+001, 8.9867319E+001, 2.8743835E+002, 7.3170153E+001, 1.4176630E+002, 7.8272944E+001
 4.6000267E+002, 8.3815695E+001, 1.0107935E+002, 8.9144065E+001, 2.5064801E+002, 7.3017836E+001, 1.4645723E+002, 7.8606596E+001
 4.6517391E+002, 8.3354723E+001, 1.0292293E+002, 8.5295188E+001, 2.5818844E+002, 7.4059041E+001, 1.4452943E+002, 7.7571039E+001
 4.7007166E+002, 8.5267353E+001, 1.0412002E+002, 8.5290709E+001, 2.5724005E+002, 7.4895323E+001, 1.5078306E+002, 7.5516262E+001
 4.7501939E+002, 8.5680198E+001, 1.0329538E+002, 8.4032916E+001, 2.3778785E+002, 7.4396017E+001, 1.4840279E+002, 6.7878451E+001
 4.8019153E+002, 8.3771962E+001, 1.0915182E+002, 8.0414978E+001, 2.8408747E+002, 7.2094037E+001, 1.4218853E+002, 6.9887111E+001
 4.8518533E+002, 7.9464965E+001, 1.0459664E+002, 7.9213230E+001, 2.5223224E+002, 6.9999881E+001, 1.5180926E+002, 8.4918508E+001
 4.9019850E+002, 7.7714374E+001, 1.0506596E+002, 8.9638021E+001, 2.5203286E+002, 7.3459541E+001, 1.5156899E+002, 7.6983895E+001
