s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 3.6015137E+002, 1.8149932E+003, 0.0000000E+000,-1.1141871E+003, 1.1118765E+001,-7.0144131E+002,-1.2056021E-001, 8.0693888E+000, 0.0000000E+000, 2.0034930E+001, 1.8432404E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2635724E+004
 3.6605954E+002, 1.8004931E+003, 0.0000000E+000,-1.0961080E+003,-8.7715086E+000,-6.9389509E+002,-1.2164480E-001, 1.0130289E+001, 0.0000000E+000, 1.4974026E+001, 1.1727098E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2678328E+004
 3.7202975E+002, 1.7970063E+003, 0.0000000E+000,-1.0761485E+003,-8.7969798E-001,-6.9574480E+002,-1.2063227E-001, 1.8018286E+001, 0.0000000E+000, 5.7546476E+001, 4.2130894E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2766791E+004
 3.7801367E+002, 1.7903505E+003, 0.0000000E+000,-1.1009434E+003,-2.7515734E+000,-6.9617108E+002,-1.2068757E-001, 4.2558117E+000, 0.0000000E+000,-2.7021568E+000,-5.3804116E+000, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2786224E+004
 3.8404321E+002, 1.8061803E+003, 0.0000000E+000,-1.1113511E+003, 1.2921890E+001,-6.9971328E+002,-1.2140168E-001, 6.3789582E+000, 0.0000000E+000, 1.9687768E+001, 1.4295322E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2816846E+004
 3.9003735E+002, 1.7950041E+003, 0.0000000E+000,-1.0967145E+003,-2.5337033E+000,-7.0101569E+002,-1.2131007E-001, 6.9422044E+000, 0.0000000E+000, 1.1054483E+001, 1.5611225E+000, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2851178E+004
 3.9601031E+002, 1.8074365E+003, 0.0000000E+000,-1.1216427E+003,-1.0228350E+001,-7.0677482E+002,-1.1965476E-001, 3.4401857E-001, 0.0000000E+000,-2.1026868E+001,-3.0984999E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2850531E+004
 4.0201740E+002, 1.7842518E+003, 0.0000000E+000,-1.0791824E+003,-7.5166678E+000,-6.9810594E+002,-1.2091161E-001, 1.1517785E+001, 0.0000000E+000, 1.7553664E+001, 1.0843656E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2905621E+004
 4.0809851E+002, 1.8106630E+003, 0.0000000E+000,-1.1260473E+003, 3.1215527E+001,-7.0323331E+002,-1.2104097E-001, 2.0264974E+000, 0.0000000E+000, 2.3025286E+001, 1.4503400E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2917013E+004
 4.1410416E+002, 1.7890510E+003, 0.0000000E+000,-1.1012357E+003,-5.6405833E+000,-6.9241065E+002,-1.2163485E-001, 7.8610498E+000, 0.0000000E+000, 6.3408445E-001,-2.4964410E+000, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2954835E+004
 4.2005634E+002, 1.7991638E+003, 0.0000000E+000,-1.0974980E+003,-3.1295392E+001,-6.9729135E+002,-1.1995613E-001, 9.9705159E+000, 0.0000000E+000, 2.4664239E+000,-1.7070372E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2998103E+004
 4.2607336E+002, 1.8117803E+003, 0.0000000E+000,-1.1128649E+003, 3.1308621E+001,-6.9451625E+002,-1.2182028E-001, 1.2091228E+001, 0.0000000E+000, 5.3966884E+001, 4.7677206E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3060949E+004
 4.3226639E+002, 1.7868906E+003, 0.0000000E+000,-1.1366861E+003,-2.1397828E+000,-6.8548046E+002,-1.2075390E-001,-6.2217441E+000, 0.0000000E+000,-4.0372006E+001,-4.3758271E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3026091E+004
 4.3810406E+002, 1.8108573E+003, 0.0000000E+000,-1.0669733E+003,-5.8125784E+000,-6.9050455E+002,-1.2050555E-001, 3.1891020E+001, 0.0000000E+000, 8.5108711E+001, 7.9337368E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3170716E+004
 4.4414813E+002, 1.8013786E+003, 0.0000000E+000,-1.1371368E+003, 1.3616409E+001,-6.7945116E+002,-1.2114146E-001, 2.3425580E+000, 0.0000000E+000, 4.8394353E-002, 6.2852688E-001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3183568E+004
 4.5014450E+002, 1.7987413E+003, 0.0000000E+000,-1.1219070E+003,-2.0059923E+001,-6.8766350E+002,-1.2086497E-001, 3.0748937E+000, 0.0000000E+000,-2.0126729E+001,-2.7935109E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3193750E+004
 4.5610770E+002, 1.8070190E+003, 0.0000000E+000,-1.0983100E+003,-1.1791733E+001,-6.8827542E+002,-1.2011866E-001, 1.5497023E+001, 0.0000000E+000, 3.6664405E+001, 2.4018790E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3268003E+004
 4.6219217E+002, 1.7878567E+003, 0.0000000E+000,-1.0953220E+003, 1.8504462E+000,-6.8214592E+002,-1.1999218E-001, 1.1360522E+001, 0.0000000E+000, 3.4235174E+001, 2.3479677E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3324182E+004
 4.6814755E+002, 1.7985684E+003, 0.0000000E+000,-1.1387984E+003, 2.6566931E+001,-6.8261397E+002,-1.1965827E-001,-3.0789655E-001, 0.0000000E+000,-1.1290786E+000, 3.2954035E+000, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3321107E+004
 4.7419476E+002, 1.8031201E+003, 0.0000000E+000,-1.1442313E+003,-2.1020771E-001,-6.8125198E+002,-1.2090019E-001, 1.4904289E+000, 0.0000000E+000,-1.0050597E+001,-2.1203775E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3331081E+004
 4.8019153E+002, 1.7948598E+003, 0.0000000E+000,-1.1011399E+003, 1.9861744E+001,-6.7126751E+002,-1.2079731E-001, 1.6048762E+001, 0.0000000E+000, 6.4212754E+001, 5.8242115E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3402352E+004
 4.8618796E+002, 1.8151852E+003, 0.0000000E+000,-1.1143648E+003,-1.1664167E+001,-6.8340690E+002,-1.2076783E-001, 1.6513478E+001, 0.0000000E+000, 3.1995728E+001, 2.2142013E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3478320E+004
 4.9209549E+002, 1.7927184E+003, 0.0000000E+000,-1.1183047E+003,-1.4887308E+001,-6.8217641E+002,-1.2062436E-001, 5.4728512E+000, 0.0000000E+000,-1.1393635E+001,-1.7297758E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3507213E+004
 4.9812970E+002, 1.8031871E+003, 0.0000000E+000,-1.1366331E+003, 8.4425554E+000,-6.8439783E+002,-1.2057320E-001, 1.0603366E+000, 0.0000000E+000,-1.0164862E+001,-8.4615276E+000, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3509244E+004
 5.0400751E+002, 1.7958555E+003, 0.0000000E+000,-1.0947078E+003,-1.9324092E+000,-6.9057258E+002,-1.2006206E-001, 1.3049009E+001, 0.0000000E+000, 3.1661288E+001, 2.1571592E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3569621E+004
 5.1015659E+002, 1.8109035E+003, 0.0000000E+000,-1.1420660E+003,-5.0956326E+000,-6.7340161E+002,-1.2098471E-001, 5.5740843E+000, 0.0000000E+000, 8.1311508E+000,-4.2066532E+000, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3598691E+004
 5.1621033E+002, 1.7936343E+003, 0.0000000E+000,-1.1372498E+003,-8.9920031E+000,-6.7095203E+002,-1.2020915E-001, 1.4510552E+000, 0.0000000E+000,-1.9138514E+001,-2.2228678E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3598852E+004
 5.2201367E+002, 1.7951112E+003, 0.0000000E+000,-1.0863217E+003, 8.4996757E+000,-6.7486821E+002,-1.1945239E-001, 2.2133992E+001, 0.0000000E+000, 6.9794891E+001, 6.4435452E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3703491E+004
 5.2807922E+002, 1.8009959E+003, 0.0000000E+000,-1.1087317E+003,-1.8200495E+000,-6.9242041E+002,-1.1959128E-001, 9.0448811E+000, 0.0000000E+000, 1.9824148E+001, 6.9490799E+000, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3745593E+004
 5.3413562E+002, 1.8002957E+003, 0.0000000E+000,-1.1117917E+003,-1.0111032E+000,-6.8077879E+002,-1.1889392E-001, 1.1476667E+001, 0.0000000E+000, 2.0431678E+001, 1.8071961E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3800019E+004
 5.4024396E+002, 1.7964260E+003, 0.0000000E+000,-1.1400550E+003, 2.0534875E+000,-6.7108781E+002,-1.1913725E-001, 3.2287659E+000, 0.0000000E+000, 6.4593591E-001,-9.5536850E+000, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3818652E+004
 5.4619861E+002, 1.8010390E+003, 0.0000000E+000,-1.1670263E+003, 2.5458051E+001,-6.6431646E+002,-1.2007714E-001,-2.5169764E+000, 0.0000000E+000,-7.0435393E+000,-7.4827321E+000, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3806309E+004
 5.5216132E+002, 1.8007249E+003, 0.0000000E+000,-1.1136083E+003,-3.6854123E+001,-6.6389958E+002,-1.2024192E-001, 1.7349368E+001, 0.0000000E+000, 1.9353845E+001, 3.5919756E+000, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3886228E+004
 5.5812170E+002, 1.8064249E+003, 0.0000000E+000,-1.1659024E+003, 2.1422362E+001,-6.6461947E+002,-1.2092798E-001,-2.5689542E+000, 0.0000000E+000,-1.0774225E+001,-5.3644958E+000, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3873403E+004
 5.6403705E+002, 1.8049166E+003, 0.0000000E+000,-1.1141889E+003, 1.2683012E+001,-6.7627264E+002,-1.2097982E-001, 1.6486287E+001, 0.0000000E+000, 5.7617192E+001, 4.3503390E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3954596E+004
 5.7010266E+002, 1.7950116E+003, 0.0000000E+000,-1.1160301E+003,-1.5631073E+000,-6.8742999E+002,-1.2005480E-001, 6.1462849E+000, 0.0000000E+000,-3.2604659E+000,-3.9854117E+000, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.3979717E+004
 5.7618811E+002, 1.7981162E+003, 0.0000000E+000,-1.1257620E+003,-1.4927549E+001,-6.7048668E+002,-1.1817962E-001, 8.2748910E+000, 0.0000000E+000, 4.0950219E+000,-4.9033116E+000, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.4017887E+004
 5.8217877E+002, 1.8011987E+003, 0.0000000E+000,-1.1244289E+003, 2.6713378E+000,-6.5392768E+002,-1.2032277E-001, 1.7029999E+001, 0.0000000E+000, 5.0756592E+001, 4.2423140E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.4097194E+004
 5.8805200E+002, 1.8020051E+003, 0.0000000E+000,-1.1317000E+003, 1.5350366E+000,-6.6420885E+002,-1.1932115E-001, 1.1881707E+001, 0.0000000E+000, 3.0916129E+001, 1.9393630E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.4154788E+004
 5.9402179E+002, 1.7945008E+003, 0.0000000E+000,-1.1364166E+003,-5.0312643E+000,-6.6576450E+002,-1.1821009E-001, 6.1642245E+000, 0.0000000E+000, 8.2558897E+000,-6.6655602E+000, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.4182724E+004
 6.0000000E+002, 1.8093613E+003, 0.0000000E+000,-1.1265126E+003,-2.4999261E+001,-6.5937163E+002,-1.2009670E-001, 1.6211972E+001, 0.0000000E+000, 2.8813411E+001, 1.4569634E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.4257098E+004
