s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"TEMP_0","TEMP_1","TEMP_2","TEMP_3","TEMP_4","TEMP_5","TEMP_6","TEMP_7","TEMP_8","TEMP_9","TEMP_10","TEMP_11","TEMP_12","TEMP_13","TEMP_14","TEMP_15","TEMP_16","TEMP_17","TEMP_18","TEMP_19","TEMP_20","TEMP_21","TEMP_22","TEMP_23"
 5.0515762E+002, 7.7494169E+001, 8.3219189E+001, 7.6195986E+001, 4.4988093E+001, 9.8481367E+001, 1.0504729E+002, 8.2212735E+001, 5.5729379E+001, 1.0627059E+002, 8.2546148E+001, 8.8494021E+001, 7.7963004E+001, 1.2212562E+002, 2.9448453E+002, 1.3140831E+002, 9.3925028E+001, 5.8529178E+001, 1.9058925E+001, 1.4106746E+001, 1.6151308E+001, 3.7566973E+001, 2.4189738E+001, 1.3946213E+001, 1.5439842E+001
 5.1017725E+002, 7.7477149E+001, 8.0505692E+001, 7.4323351E+001, 4.3491243E+001, 9.6273708E+001, 1.0008362E+002, 8.2836818E+001, 5.4506558E+001, 1.0580524E+002, 8.0570135E+001, 8.6402341E+001, 7.8127495E+001, 1.2594832E+002, 2.5915791E+002, 1.3410245E+002, 9.3457576E+001, 6.0014196E+001, 1.9347964E+001, 1.5738347E+001, 1.5742228E+001, 3.4735071E+001, 2.4003694E+001, 1.4294967E+001, 1.5642480E+001
 5.1522776E+002, 7.6425324E+001, 7.9481933E+001, 7.3166297E+001, 4.5168331E+001, 9.4238175E+001, 9.9488484E+001, 8.2886100E+001, 5.3969556E+001, 1.0408615E+002, 7.8654451E+001, 8.4239375E+001, 7.9256190E+001, 1.2429270E+002, 2.3326975E+002, 1.2938458E+002, 9.1449546E+001, 6.3144768E+001, 2.2454624E+001, 1.6851974E+001, 1.5920329E+001, 3.1876735E+001, 2.1656457E+001, 1.4238371E+001, 1.5694680E+001
 5.2028757E+002, 7.6491728E+001, 7.8387725E+001, 7.2452918E+001, 4.4480662E+001, 9.0145902E+001, 9.7219087E+001, 8.2996727E+001, 5.3389813E+001, 1.0410531E+002, 8.0366791E+001, 8.4928220E+001, 7.5951490E+001, 1.2314330E+002, 2.4666862E+002, 1.2119215E+002, 9.0314478E+001, 6.4978151E+001, 2.3789016E+001, 1.6879308E+001, 1.7764548E+001, 3.2733241E+001, 2.2625524E+001, 1.4002942E+001, 1.5366477E+001
 5.2515825E+002, 7.3689801E+001, 7.6941521E+001, 7.1009688E+001, 4.2660099E+001, 8.5843231E+001, 9.3204587E+001, 8.0473019E+001, 5.2033179E+001, 1.0598992E+002, 7.8700937E+001, 8.8306894E+001, 7.3543051E+001, 1.3416455E+002, 2.3513159E+002, 1.2849484E+002, 9.1974639E+001, 6.6693759E+001, 2.3556367E+001, 1.6891293E+001, 1.8926980E+001, 3.4193179E+001, 2.3324936E+001, 1.3898706E+001, 1.5274735E+001
 5.3020527E+002, 7.3396988E+001, 7.2909359E+001, 6.8712445E+001, 4.2687091E+001, 8.4086646E+001, 9.0240276E+001, 7.6235228E+001, 5.2351538E+001, 9.8948716E+001, 7.7295431E+001, 8.5453405E+001, 7.4862974E+001, 1.3063297E+002, 2.3277205E+002, 1.2437410E+002, 9.0753299E+001, 6.4306446E+001, 2.4137091E+001, 1.7075459E+001, 1.8547257E+001, 3.5658597E+001, 2.4757083E+001, 1.3755949E+001, 1.5400568E+001
 5.3515829E+002, 7.3018208E+001, 7.1087271E+001, 6.7133805E+001, 4.2884353E+001, 8.1947049E+001, 9.0996766E+001, 7.3892757E+001, 5.3186987E+001, 9.9962248E+001, 7.6288932E+001, 8.5054766E+001, 7.5991377E+001, 1.4292067E+002, 2.2194046E+002, 1.1883084E+002, 9.0513968E+001, 6.6075043E+001, 2.4545252E+001, 1.6832046E+001, 1.8205210E+001, 3.5722530E+001, 2.5580993E+001, 1.3521190E+001, 1.5534063E+001
 5.4014873E+002, 7.1653526E+001, 7.0424057E+001, 6.5901759E+001, 4.2546912E+001, 7.9252130E+001, 9.0467932E+001, 7.1987182E+001, 5.2660415E+001, 9.7593169E+001, 7.7940072E+001, 8.8427543E+001, 7.4285728E+001, 1.4038867E+002, 2.2483646E+002, 1.1957647E+002, 8.9710129E+001, 6.8658772E+001, 2.4468169E+001, 1.6754220E+001, 1.7445441E+001, 3.6768117E+001, 2.5928500E+001, 1.3639920E+001, 1.5710417E+001
 5.4501648E+002, 7.0007722E+001, 6.8802487E+001, 6.4375091E+001, 4.2516365E+001, 7.7335958E+001, 8.6424902E+001, 7.0522421E+001, 5.2936130E+001, 9.7844842E+001, 7.6427512E+001, 8.5776538E+001, 7.2639907E+001, 1.5094654E+002, 2.3114306E+002, 1.2097722E+002, 8.9732381E+001, 6.8344638E+001, 2.3149044E+001, 1.6797337E+001, 1.6600485E+001, 3.7133731E+001, 2.6251886E+001, 1.3998785E+001, 1.5849424E+001
 5.5002761E+002, 6.7503720E+001, 6.8379276E+001, 6.3846994E+001, 4.3170951E+001, 7.5165540E+001, 8.6142133E+001, 6.9421093E+001, 5.4619208E+001, 9.7946930E+001, 7.0355251E+001, 8.3531573E+001, 7.3939557E+001, 1.4406729E+002, 2.2418313E+002, 1.2482160E+002, 8.9616006E+001, 6.9405931E+001, 2.2734387E+001, 1.6547367E+001, 1.5527294E+001, 3.6864590E+001, 2.6608096E+001, 1.4271553E+001, 1.5994103E+001
 5.5518111E+002, 6.5940786E+001, 6.6208296E+001, 6.3422154E+001, 4.2867781E+001, 7.5175041E+001, 8.5060796E+001, 6.8246139E+001, 5.3859317E+001, 9.5796779E+001, 7.1815414E+001, 8.2986915E+001, 7.4105628E+001, 1.4859037E+002, 2.1440611E+002, 1.2135920E+002, 8.9153643E+001, 7.6172290E+001, 2.3666563E+001, 1.6083155E+001, 1.5649708E+001, 3.8547029E+001, 2.6666477E+001, 1.4241373E+001, 1.5793549E+001
 5.6000793E+002, 6.5806984E+001, 6.4783818E+001, 6.2595229E+001, 4.2643039E+001, 7.6996451E+001, 8.4789689E+001, 6.6695102E+001, 5.2866795E+001, 9.2945224E+001, 7.2202539E+001, 8.1268403E+001, 7.2543825E+001, 1.4683651E+002, 2.2584172E+002, 1.1901320E+002, 8.9722669E+001, 7.2946664E+001, 2.3563199E+001, 1.6061823E+001, 1.6052963E+001, 3.8232241E+001, 2.6419949E+001, 1.4477106E+001, 1.5699343E+001
 5.6522448E+002, 6.3855393E+001, 6.4624858E+001, 6.1342711E+001, 4.2412683E+001, 7.5638335E+001, 8.3435712E+001, 6.5858764E+001, 5.2318021E+001, 9.5467073E+001, 7.1786381E+001, 8.2420724E+001, 7.1296786E+001, 1.4907986E+002, 2.3103285E+002, 1.1536474E+002, 9.0123670E+001, 7.6297365E+001, 2.1798913E+001, 1.6172399E+001, 1.5895267E+001, 3.8439185E+001, 2.5969242E+001, 1.4829575E+001, 1.5841913E+001
 5.7025090E+002, 6.2523265E+001, 6.2422931E+001, 5.8172744E+001, 4.2080420E+001, 7.2936087E+001, 8.0687148E+001, 6.4293733E+001, 5.1357577E+001, 9.9101966E+001, 7.1902693E+001, 8.4829215E+001, 6.9852982E+001, 1.6183467E+002, 2.0343224E+002, 1.1601893E+002, 8.8730950E+001, 8.1146047E+001, 2.0898383E+001, 1.6452809E+001, 1.5256635E+001, 4.0722128E+001, 2.6489980E+001, 1.4868994E+001, 1.5894557E+001
 5.7522294E+002, 6.0892426E+001, 6.2037343E+001, 5.6513635E+001, 4.1846303E+001, 7.1669437E+001, 7.9831469E+001, 6.3303558E+001, 4.9869007E+001, 9.4899134E+001, 7.0612582E+001, 8.1667723E+001, 7.0538699E+001, 1.6188365E+002, 2.1199704E+002, 1.1704816E+002, 8.7335107E+001, 7.8628601E+001, 2.1351042E+001, 1.6786443E+001, 1.4880146E+001, 4.0694466E+001, 2.6300099E+001, 1.4818070E+001, 1.5519071E+001
 5.8014739E+002, 6.0026102E+001, 6.2258014E+001, 5.7247927E+001, 4.0876805E+001, 7.0900483E+001, 7.8786754E+001, 6.3836147E+001, 4.8399641E+001, 9.2572444E+001, 6.8083670E+001, 7.8623936E+001, 6.9684423E+001, 1.5911463E+002, 2.0584694E+002, 1.1581553E+002, 8.6633308E+001, 7.7735650E+001, 2.0515287E+001, 1.7380241E+001, 1.4871626E+001, 4.0727260E+001, 2.6486060E+001, 1.4730407E+001, 1.5119771E+001
 5.8505272E+002, 5.8757789E+001, 6.1503245E+001, 5.7344882E+001, 3.8701403E+001, 7.0371299E+001, 7.6448409E+001, 6.4298893E+001, 4.7444129E+001, 9.0044688E+001, 6.8725703E+001, 8.2486006E+001, 6.8366411E+001, 1.5590306E+002, 1.8822132E+002, 1.1486130E+002, 8.5744214E+001, 7.9169400E+001, 2.1061224E+001, 1.8119308E+001, 1.5416539E+001, 4.0937917E+001, 2.7067172E+001, 1.4710839E+001, 1.5104109E+001
 5.9025583E+002, 5.7505667E+001, 6.0272433E+001, 5.6386090E+001, 3.9853950E+001, 6.9364240E+001, 7.6560127E+001, 6.3057182E+001, 4.9297602E+001, 9.0583964E+001, 6.9530910E+001, 8.0656131E+001, 6.8962339E+001, 1.5988043E+002, 1.9474468E+002, 1.1216647E+002, 8.4716306E+001, 8.0789373E+001, 2.1878018E+001, 1.8319903E+001, 1.6414827E+001, 4.1588534E+001, 2.7409078E+001, 1.4848865E+001, 1.5399637E+001
 5.9503703E+002, 5.6006860E+001, 5.8747401E+001, 5.5028938E+001, 3.9857394E+001, 6.7340210E+001, 7.6877542E+001, 6.0032332E+001, 5.0147962E+001, 9.0013085E+001, 6.8471032E+001, 7.7967675E+001, 6.7581862E+001, 1.6267050E+002, 1.9381073E+002, 1.1734330E+002, 8.4140759E+001, 8.4179013E+001, 2.1763877E+001, 1.7751779E+001, 1.6785263E+001, 4.3373057E+001, 2.8271856E+001, 1.4915039E+001, 1.5566183E+001
 6.0000000E+002, 5.5448400E+001, 5.7460039E+001, 5.4301062E+001, 3.8475802E+001, 6.5545626E+001, 7.4864414E+001, 5.7835420E+001, 4.8789331E+001, 8.9417045E+001, 6.7964413E+001, 7.8466533E+001, 6.6325924E+001, 1.6319905E+002, 1.9068368E+002, 1.1210530E+002, 8.2574338E+001, 8.1373245E+001, 1.9035278E+001, 1.6918911E+001, 1.6519595E+001, 4.3889877E+001, 2.7703113E+001, 1.4966021E+001, 1.5668757E+001
