s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"TEMP_0","TEMP_1","TEMP_2","TEMP_3","TEMP_4","TEMP_5","TEMP_6","TEMP_7","TEMP_8","TEMP_9","TEMP_10","TEMP_11","TEMP_12","TEMP_13","TEMP_14","TEMP_15","TEMP_16","TEMP_17","TEMP_18","TEMP_19","TEMP_20","TEMP_21","TEMP_22","TEMP_23"
 1.8007862E+002, 1.0494410E+002, 1.6312324E+002, 1.2704254E+002, 1.0788808E+002, 1.4787311E+002, 4.6322064E+002, 1.7040336E+002, 1.6817750E+002, 1.0752166E+002, 1.3036610E+002, 2.2632946E+002, 4.6119720E+002, 9.3304432E+001, 1.7364469E+002, 5.0775455E+002, 1.9942500E+002, 6.3336028E+001, 3.7227404E+001, 3.7262308E+001, 3.5747977E+001, 4.6594796E+001, 3.7591337E+001, 3.6885474E+001, 3.6132676E+001
 1.8504734E+002, 1.0379604E+002, 1.6197399E+002, 1.2883992E+002, 1.0593490E+002, 1.5404192E+002, 4.2502749E+002, 1.6539357E+002, 1.6131715E+002, 1.0846405E+002, 1.3080143E+002, 2.2229066E+002, 4.2655400E+002, 9.3419783E+001, 1.6837474E+002, 5.3182476E+002, 2.0345409E+002, 6.2675016E+001, 3.6638953E+001, 3.6247504E+001, 3.5632010E+001, 4.6279430E+001, 3.7221480E+001, 3.6722688E+001, 3.5939670E+001
 1.9011432E+002, 1.0420365E+002, 1.5955131E+002, 1.2955932E+002, 1.0644563E+002, 1.5670074E+002, 4.8627361E+002, 1.6785915E+002, 1.6982530E+002, 1.0888918E+002, 1.2821991E+002, 2.1545430E+002, 4.2917698E+002, 9.4747056E+001, 1.6768959E+002, 5.0230614E+002, 1.9901035E+002, 6.3164866E+001, 3.5969023E+001, 3.5097431E+001, 3.5085963E+001, 4.5586186E+001, 3.7440076E+001, 3.6501952E+001, 3.5763254E+001
 1.9509823E+002, 1.0486260E+002, 1.6255144E+002, 1.2805491E+002, 1.0728099E+002, 1.5286341E+002, 4.6546140E+002, 1.6515860E+002, 1.7309433E+002, 1.0728327E+002, 1.2803520E+002, 2.2461438E+002, 4.9065548E+002, 9.2647796E+001, 1.6453418E+002, 4.9358302E+002, 1.9770361E+002, 6.1699119E+001, 3.5484981E+001, 3.3527100E+001, 3.3627586E+001, 4.4662271E+001, 3.7263508E+001, 3.5925889E+001, 3.4995897E+001
 2.0000703E+002, 1.0648064E+002, 1.6309285E+002, 1.2952227E+002, 1.0623839E+002, 1.5911185E+002, 4.3524721E+002, 1.7058506E+002, 1.7030433E+002, 1.0726750E+002, 1.3011130E+002, 2.2692050E+002, 4.7730503E+002, 9.2711807E+001, 1.6503285E+002, 4.5776952E+002, 1.9576735E+002, 6.0987579E+001, 3.5428189E+001, 3.3503207E+001, 3.2462901E+001, 4.3789371E+001, 3.6562204E+001, 3.5393103E+001, 3.4197748E+001
 2.0507543E+002, 1.0416921E+002, 1.5770898E+002, 1.2691868E+002, 1.0615685E+002, 1.5596659E+002, 4.4490833E+002, 1.6829308E+002, 1.7604193E+002, 1.0804295E+002, 1.3435985E+002, 2.1618258E+002, 4.3745405E+002, 9.3242757E+001, 1.6409061E+002, 4.6658731E+002, 2.0415884E+002, 6.1656192E+001, 3.5253869E+001, 3.3969033E+001, 3.2397363E+001, 4.4023637E+001, 3.6713275E+001, 3.4671939E+001, 3.3085999E+001
 2.1003857E+002, 1.0494994E+002, 1.6127192E+002, 1.2546673E+002, 1.0741685E+002, 1.5836269E+002, 4.3945347E+002, 1.6551296E+002, 1.7291863E+002, 1.0841121E+002, 1.3172212E+002, 2.0935181E+002, 3.8894696E+002, 9.3300353E+001, 1.6503276E+002, 4.7277258E+002, 1.9520936E+002, 6.2807906E+001, 3.4464722E+001, 3.4006336E+001, 3.1840118E+001, 4.4537162E+001, 3.6589169E+001, 3.4099520E+001, 3.3017999E+001
 2.1508442E+002, 1.0330610E+002, 1.6102820E+002, 1.2594111E+002, 1.0896207E+002, 1.5214600E+002, 4.3524929E+002, 1.6462149E+002, 1.7193362E+002, 1.0785356E+002, 1.3018903E+002, 2.2123486E+002, 4.1738175E+002, 9.2212408E+001, 1.6372503E+002, 5.0362976E+002, 1.8845845E+002, 6.2904242E+001, 3.2096173E+001, 3.3743201E+001, 3.1397736E+001, 4.3439184E+001, 3.6389815E+001, 3.3394501E+001, 3.2445003E+001
 2.2010112E+002, 1.0205311E+002, 1.5607220E+002, 1.2714190E+002, 1.0748287E+002, 1.4696541E+002, 4.3607559E+002, 1.6880062E+002, 1.7555769E+002, 1.0704882E+002, 1.3033736E+002, 2.1635049E+002, 4.2620640E+002, 9.1631185E+001, 1.6017563E+002, 5.0600465E+002, 1.9768798E+002, 6.2555898E+001, 3.1568497E+001, 3.3493830E+001, 3.1060743E+001, 4.3450756E+001, 3.6328001E+001, 3.2792563E+001, 3.2276104E+001
 2.2504381E+002, 1.0404705E+002, 1.5253284E+002, 1.2792651E+002, 1.0850042E+002, 1.5018088E+002, 4.5728470E+002, 1.6481107E+002, 1.8051658E+002, 1.0699805E+002, 1.2840573E+002, 2.1537123E+002, 3.9624412E+002, 9.2476966E+001, 1.5988851E+002, 5.1255770E+002, 1.9222322E+002, 6.1936234E+001, 3.2588349E+001, 3.3054442E+001, 3.1223187E+001, 4.4146930E+001, 3.5965778E+001, 3.2879607E+001, 3.2418143E+001
